pc1	pc2	protein	pc4	ko	extra
df	oid	10043	loc	K01424	E3.5.1.1, ansA, ansB; L-asparaginase [EC:3.5.1.1]
df	oid	10045	loc	K15620	GOLPH3, GPP34; golgi phosphoprotein 3
df	oid	10046	loc	K09498	CCT6; T-complex protein 1 subunit zeta
df	oid	10049	loc	K03126	TAF12; transcription initiation factor TFIID subunit 12
df	oid	10051	loc		
df	oid	10054	loc		
df	oid	10055	loc	K02969	RP-S20e, RPS20; small subunit ribosomal protein S20e
df	oid	10056	loc		
df	oid	10057	loc	K16261	YAT; yeast amino acid transporter
df	oid	10058	loc		
df	oid	10059	loc	K16261	YAT; yeast amino acid transporter
df	oid	10060	loc	K20292	COG5; conserved oligomeric Golgi complex subunit 5
df	oid	10061	loc		
df	oid	10062	loc		
df	oid	10064	loc		
df	oid	10065	loc		
df	oid	10066	loc	K11493	RCC1; regulator of chromosome condensation
df	oid	10067	loc		
df	oid	10068	loc		
df	oid	10069	loc	K03522	fixB, etfA; electron transfer flavoprotein alpha subunit
df	oid	10071	loc		
df	oid	10072	loc	K17777	TIM9; mitochondrial import inner membrane translocase subunit TIM9
df	oid	10073	loc	K03264	EIF6; translation initiation factor 6
df	oid	10074	loc		
df	oid	10076	loc		
df	oid	10077	loc		
df	oid	10079	loc	K01887	RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]
df	oid	10080	loc		
df	oid	10081	loc		
df	oid	10082	loc	K01372	BLMH, pepC; bleomycin hydrolase [EC:3.4.22.40]
df	oid	10083	loc	K18328	DBR1; lariat debranching enzyme [EC:3.1.-.-]
df	oid	10084	loc	K14799	TSR1; pre-rRNA-processing protein TSR1
df	oid	10085	loc	K23553	PGAP3, PER1; post-GPI attachment to proteins factor 3
df	oid	10086	loc	K02260	COX17; cytochrome c oxidase assembly protein subunit 17
df	oid	10087	loc		
df	oid	10088	loc		
df	oid	10089	loc	K11483	HOS2; histone deacetylase HOS2 [EC:3.5.1.98]
df	oid	10090	loc	K05681	ABCG2, CD338; ATP-binding cassette, subfamily G (WHITE), member 2
df	oid	10091	loc		
df	oid	10092	loc		
df	oid	10093	loc		
df	oid	10094	loc		
df	oid	10095	loc	K03843	ALG2; alpha-1,3/alpha-1,6-mannosyltransferase [EC:2.4.1.132 2.4.1.257]
df	oid	10096	loc		
df	oid	10097	loc		
df	oid	10098	loc	K02990	RP-S6, MRPS6, rpsF; small subunit ribosomal protein S6
df	oid	10101	loc		
df	oid	10102	loc		
df	oid	10103	loc	K03235	EF3, TEF3; elongation factor 3
df	oid	10104	loc	K01593	DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase [EC:4.1.1.28 4.1.1.105]
df	oid	10105	loc		
df	oid	10108	loc		
df	oid	10109	loc		
df	oid	10110	loc		
df	oid	10111	loc		
df	oid	10113	loc	K09829	ERG2; C-8 sterol isomerase [EC:5.-.-.-]
df	oid	10114	loc		
df	oid	10116	loc		
df	oid	10118	loc	K16185	RRAGA_B; Ras-related GTP-binding protein A/B
df	oid	10119	loc	K23498	COXPD7; peptide chain release factor
df	oid	10120	loc	K15363	FAN1, MTMR15; fanconi-associated nuclease 1 [EC:3.1.21.- 3.1.4.1]
df	oid	10121	loc		
df	oid	10122	loc		
df	oid	10123	loc		
df	oid	10124	loc		
df	oid	10125	loc		
df	oid	10126	loc		
df	oid	10127	loc	K13345	PEX12, PAF3; peroxin-12
df	oid	10128	loc	K10591	NEDD4, RSP5; E3 ubiquitin-protein ligase NEDD4 [EC:2.3.2.26]
df	oid	10129	loc		
df	oid	10132	loc	K00799	GST, gst; glutathione S-transferase [EC:2.5.1.18]
df	oid	10133	loc		
df	oid	10134	loc	K03097	CSNK2A; casein kinase II subunit alpha [EC:2.7.11.1]
df	oid	10136	loc	K01858	INO1, ISYNA1; myo-inositol-1-phosphate synthase [EC:5.5.1.4]
df	oid	10139	loc	K14312	NUP155, NUP170, NUP157; nuclear pore complex protein Nup155
df	oid	10140	loc	K25365	gbh; guanidinobutyrase / D-arginase [EC:3.5.3.7 3.5.3.10]
df	oid	10143	loc	K28030	TPO5; polyamine permease
df	oid	10144	loc	K01869	LARS, leuS; leucyl-tRNA synthetase [EC:6.1.1.4]
df	oid	10145	loc		
df	oid	10146	loc		
df	oid	10147	loc		
df	oid	10148	loc	K03097	CSNK2A; casein kinase II subunit alpha [EC:2.7.11.1]
df	oid	10149	loc	K15109	SLC25A20, CACT, CAC, CRC1; solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20
df	oid	10151	loc		
df	oid	10152	loc		
df	oid	10153	loc	K04077	groEL, HSPD1, HSP60, CPN60; chaperonin GroEL [EC:5.6.1.7]
df	oid	10154	loc	K04078	groES, HSPE1; chaperonin GroES
df	oid	10155	loc	K22866	TCTEX1D2; tctex1 domain-containing protein 2
df	oid	10156	loc	K16368	DGK1; diacylglycerol kinase (CTP) [EC:2.7.1.174]
df	oid	10157	loc	K10573	UBE2A, UBC2, RAD6A; ubiquitin-conjugating enzyme E2 A [EC:2.3.2.23]
df	oid	10161	loc	K02867	RP-L11, MRPL11, rplK; large subunit ribosomal protein L11
df	oid	10162	loc		
df	oid	10163	loc	K12844	PRPF31; U4/U6 small nuclear ribonucleoprotein PRP31
df	oid	10164	loc		
df	oid	10165	loc		
df	oid	10166	loc		
df	oid	10167	loc		
df	oid	10168	loc		
df	oid	10169	loc		
df	oid	10170	loc	K05546	GANAB; mannosyl-oligosaccharide alpha-1,3-glucosidase [EC:3.2.1.207]
df	oid	10171	loc		
df	oid	10173	loc	K00616	TALDO1, talB, talA; transaldolase [EC:2.2.1.2]
df	oid	10174	loc		
df	oid	10175	loc		
df	oid	10178	loc		
df	oid	10181	loc		
df	oid	10182	loc		
df	oid	10183	loc		
df	oid	10184	loc	K08178	JEN; MFS transporter, SHS family, lactate transporter
df	oid	10185	loc		
df	oid	10187	loc		
df	oid	10189	loc		
df	oid	10191	loc		
df	oid	10193	loc		
df	oid	10194	loc		
df	oid	10195	loc	K18599	JNM1; nuclear migration protein JNM1
df	oid	10197	loc	K20238	E2.1.1.317; sphingolipid C9-methyltransferase [EC:2.1.1.317]
df	oid	10198	loc	K00809	DHPS, dys; deoxyhypusine synthase [EC:2.5.1.46]
df	oid	10199	loc	K24611	AMMECR1, AMMECR1L; AMME syndrome candidate gene 1 protein
df	oid	10200	loc	K24137	PRX1; glutaredoxin/glutathione-dependent peroxiredoxin [EC:1.11.1.25 1.11.1.27]
df	oid	10203	loc	K10601	SYVN1, HRD1; E3 ubiquitin-protein ligase synoviolin [EC:2.3.2.27]
df	oid	10204	loc		
df	oid	10205	loc	K00281	GLDC, gcvP; glycine cleavage system P protein (glycine dehydrogenase) [EC:1.4.4.2]
df	oid	10206	loc	K04486	E3.1.3.15B; histidinol-phosphatase (PHP family) [EC:3.1.3.15]
df	oid	10209	loc		
df	oid	10210	loc	K15428	DUG1; Cys-Gly metallodipeptidase DUG1 [EC:3.4.13.-]
df	oid	10212	loc	K16066	ydfG; 3-hydroxy acid dehydrogenase / malonic semialdehyde reductase [EC:1.1.1.381 1.1.1.-]
df	oid	10213	loc	K06127	COQ5; 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.201]
df	oid	10214	loc		
df	oid	10216	loc		
df	oid	10218	loc	K00311	ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
df	oid	10220	loc	K06133	LYS5, acpT; 4'-phosphopantetheinyl transferase [EC:2.7.8.-]
df	oid	10221	loc		
df	oid	10223	loc		
df	oid	10224	loc	K10863	APTX; aprataxin [EC:3.6.1.70 3.6.1.71 3.6.1.72]
df	oid	10225	loc	K08192	DAL5; MFS transporter, ACS family, DAL5 transporter family protein
df	oid	10226	loc	K19245	JLP1; sulfonate dioxygenase [EC:1.14.11.-]
df	oid	10227	loc		
df	oid	10228	loc	K02259	COX15, ctaA; heme a synthase [EC:1.17.99.9]
df	oid	10229	loc	K22075	BOLA3; BolA-like protein 3
df	oid	10230	loc		
df	oid	10231	loc		
df	oid	10232	loc		
df	oid	10233	loc	K02729	PSMA5; 20S proteasome subunit alpha 5 [EC:3.4.25.1]
df	oid	10234	loc	K23567	EMC6, TMEM93; ER membrane protein complex subunit 6
df	oid	10235	loc		
df	oid	10236	loc	K11569	DAD4, HSK2; DASH complex subunit DAD4
df	oid	10237	loc	K14570	REX1, REXO1, REXO5, RNH70; RNA exonuclease [EC:3.1.-.-]
df	oid	10238	loc	K18043	OCA1; tyrosine-protein phosphatase OCA1 [EC:3.1.3.48]
df	oid	10239	loc	K14855	RSA4, NLE1; ribosome assembly protein 4
df	oid	10240	loc	K14566	UTP24, FCF1; U3 small nucleolar RNA-associated protein 24
df	oid	10242	loc		
df	oid	10245	loc	K03363	CDC20; cell division cycle 20, cofactor of APC complex
df	oid	10246	loc	K01875	SARS, serS; seryl-tRNA synthetase [EC:6.1.1.11]
df	oid	10247	loc		
df	oid	10248	loc		
df	oid	10249	loc	K11770	SFH1; chromatin structure-remodeling complex subunit SFH1
df	oid	10250	loc	K02986	RP-S4, NAM9, rpsD; small subunit ribosomal protein S4
df	oid	10251	loc	K00109	L2HGDH; 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
df	oid	10253	loc		
df	oid	10254	loc		
df	oid	10255	loc	K14823	EBP2, EBNA1BP2; rRNA-processing protein EBP2
df	oid	10259	loc	K03083	GSK3B; glycogen synthase kinase 3 beta [EC:2.7.11.26]
df	oid	10260	loc		
df	oid	10261	loc	K18338	LRA2; L-rhamnono-1,4-lactonase [EC:3.1.1.65]
df	oid	10262	loc	K01253	EPHX1; microsomal epoxide hydrolase [EC:3.3.2.9]
df	oid	10263	loc		
df	oid	10264	loc	K00844	HK; hexokinase [EC:2.7.1.1]
df	oid	10265	loc	K07443	ybaZ; methylated-DNA-protein-cysteine methyltransferase related protein
df	oid	10266	loc		
df	oid	10267	loc		
df	oid	10268	loc	K15071	RCY1, POF6; recyclin-1
df	oid	10269	loc		
df	oid	10270	loc	K11702	CXT1; beta-1,2-xylosyltransferase [EC:2.4.2.-]
df	oid	10272	loc	K03083	GSK3B; glycogen synthase kinase 3 beta [EC:2.7.11.26]
df	oid	10274	loc		
df	oid	10276	loc	K01426	E3.5.1.4, amiE; amidase [EC:3.5.1.4]
df	oid	10277	loc	K01426	E3.5.1.4, amiE; amidase [EC:3.5.1.4]
df	oid	10278	loc		
df	oid	10279	loc	K14967	BRE2, CPS60; COMPASS component BRE2
df	oid	10280	loc		
df	oid	10281	loc	K04564	SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]
df	oid	10282	loc	K07942	ARL1; ADP-ribosylation factor-like protein 1
df	oid	10283	loc	K03063	PSMC4, RPT3; 26S proteasome regulatory subunit T3
df	oid	10284	loc		
df	oid	10285	loc	K22068	ISCU; iron-sulfur cluster assembly enzyme ISCU, mitochondrial
df	oid	10286	loc		
df	oid	10287	loc	K11400	ARP4; actin-related protein 4
df	oid	10289	loc		
df	oid	10291	loc	K19787	CARNMT1; carnosine N-methyltransferase [EC:2.1.1.22]
df	oid	10292	loc	K00763	pncB, NAPRT1; nicotinate phosphoribosyltransferase [EC:6.3.4.21]
df	oid	10293	loc	K13239	ECI2, PECI; Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]
df	oid	10294	loc		
df	oid	10295	loc	K19691	NIK1, TCSC; osomolarity two-component system, sensor histidine kinase NIK1 [EC:2.7.13.3]
df	oid	10297	loc	K07880	RAB4B; Ras-related protein Rab-4B
df	oid	10298	loc		
df	oid	10299	loc		
df	oid	10300	loc		
df	oid	10302	loc	K13690	CMT1; alpha-1,3-mannosyltransferase [EC:2.4.1.-]
df	oid	10303	loc	K00654	SPT; serine palmitoyltransferase [EC:2.3.1.50]
df	oid	10304	loc	K07824	CYP53A1; benzoate 4-monooxygenase [EC:1.14.14.92]
df	oid	10305	loc		
df	oid	10306	loc		
df	oid	10307	loc		
df	oid	10308	loc	K00276	AOC3, AOC2, tynA; primary-amine oxidase [EC:1.4.3.21]
df	oid	10309	loc		
df	oid	10310	loc		
df	oid	10311	loc		
df	oid	10312	loc		
df	oid	10314	loc		
df	oid	10315	loc	K14864	FTSJ1, TRM7; tRNA (cytidine32/guanosine34-2'-O)-methyltransferase [EC:2.1.1.205]
df	oid	10316	loc	K08176	PHO84; MFS transporter, PHS family, inorganic phosphate transporter
df	oid	10317	loc		
df	oid	10318	loc	K03965	NDUFB9; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 9
df	oid	10319	loc		
df	oid	10320	loc	K14564	NOP56; nucleolar protein 56
df	oid	10321	loc	K18442	ARFGEF, BIG; brefeldin A-inhibited guanine nucleotide-exchange protein
df	oid	10323	loc		
df	oid	10324	loc		
df	oid	10325	loc	K02984	RP-S3Ae, RPS3A; small subunit ribosomal protein S3Ae
df	oid	10326	loc		
df	oid	10328	loc		
df	oid	10329	loc	K14022	CUE1, KIS4; coupling of ubiquitin conjugation to ER degradation protein 1
df	oid	10330	loc	K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
df	oid	10331	loc	K00767	nadC, QPRT; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]
df	oid	10332	loc	K01495	GCH1, folE; GTP cyclohydrolase IA [EC:3.5.4.16]
df	oid	10333	loc		
df	oid	10334	loc	K09522	DNAJC2; DnaJ homolog subfamily C member 2
df	oid	10336	loc		
df	oid	10337	loc	K14961	RBBP5, SWD1, CPS50; COMPASS component SWD1
df	oid	10338	loc		
df	oid	10339	loc	K02429	fucP; MFS transporter, FHS family, L-fucose permease
df	oid	10340	loc	K20301	TRAPPC2, TRS20; trafficking protein particle complex subunit 2
df	oid	10341	loc	K13024	PPIP5K, VIP; inositol-hexakisphosphate/diphosphoinositol-pentakisphosphate 1-kinase [EC:2.7.4.24]
df	oid	10342	loc	K23327	HIKESHI; protein Hikeshi
df	oid	10343	loc	K12350	SMPD1, ASM; sphingomyelin phosphodiesterase [EC:3.1.4.12]
df	oid	10345	loc		
df	oid	10346	loc		
df	oid	10347	loc	K07140	K07140; MOSC domain-containing protein
df	oid	10348	loc		
df	oid	10349	loc		
df	oid	10350	loc		
df	oid	10351	loc	K07213	ATOX1, ATX1, copZ, golB; copper chaperone
df	oid	10354	loc	K11702	CXT1; beta-1,2-xylosyltransferase [EC:2.4.2.-]
df	oid	10355	loc		
df	oid	10356	loc		
df	oid	10357	loc	K24927	TTC4, CNS1; tetratricopeptide repeat protein 4
df	oid	10358	loc		
df	oid	10359	loc	K03457	TC.NCS1; nucleobase:cation symporter-1, NCS1 family
df	oid	10362	loc	K03235	EF3, TEF3; elongation factor 3
df	oid	10363	loc		
df	oid	10364	loc		
df	oid	10365	loc		
df	oid	10366	loc	K08869	ADCK, ABC1; aarF domain-containing kinase
df	oid	10368	loc		
df	oid	10370	loc		
df	oid	10371	loc		
df	oid	10373	loc	K08286	E2.7.11.-; protein-serine/threonine kinase [EC:2.7.11.-]
df	oid	10374	loc	K00380	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]
df	oid	10375	loc	K15331	TRMT2B, TRM2; tRNA (uracil-5-)-methyltransferase [EC:2.1.1.35]
df	oid	10376	loc	K02929	RP-L44e, RPL44; large subunit ribosomal protein L44e
df	oid	10377	loc		
df	oid	10378	loc	K08192	DAL5; MFS transporter, ACS family, DAL5 transporter family protein
df	oid	10379	loc	K08192	DAL5; MFS transporter, ACS family, DAL5 transporter family protein
df	oid	10380	loc	K00681	ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]
df	oid	10381	loc		
df	oid	10382	loc		
df	oid	10384	loc		
df	oid	10385	loc	K12600	SKI3, TTC37; superkiller protein 3
df	oid	10386	loc	K09554	CDC37; cell division cycle protein 37
df	oid	10387	loc	K24139	PILS, ECM3; auxin efflux carrier family protein
df	oid	10388	loc		
df	oid	10389	loc		
df	oid	10390	loc		
df	oid	10391	loc	K04718	SPHK; sphingosine kinase [EC:2.7.1.91]
df	oid	10392	loc	K15979	SND1; staphylococcal nuclease domain-containing protein 1
df	oid	10393	loc		
df	oid	10394	loc		
df	oid	10395	loc	K07208	RHEB; Ras homolog enriched in brain
df	oid	10396	loc		
df	oid	10397	loc	K24139	PILS, ECM3; auxin efflux carrier family protein
df	oid	10398	loc		
df	oid	10399	loc		
df	oid	10400	loc		
df	oid	10401	loc	K09595	HM13; minor histocompatibility antigen H13 [EC:3.4.23.-]
df	oid	10402	loc		
df	oid	10403	loc	K14824	ERB1, BOP1; ribosome biogenesis protein ERB1
df	oid	10404	loc		
df	oid	10407	loc		
df	oid	10408	loc	K00249	ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]
df	oid	10409	loc		
df	oid	10410	loc		
df	oid	10412	loc		
df	oid	10415	loc		
df	oid	10416	loc		
df	oid	10417	loc	K07565	NIP7; 60S ribosome subunit biogenesis protein NIP7
df	oid	10418	loc	K02725	PSMA1; 20S proteasome subunit alpha 6 [EC:3.4.25.1]
df	oid	10419	loc		
df	oid	10420	loc		
df	oid	10421	loc		
df	oid	10422	loc		
df	oid	10423	loc		
df	oid	10424	loc	K11667	INO80C, IES6; INO80 complex subunit C
df	oid	10425	loc		
df	oid	10426	loc	K24935	TTC27; tetratricopeptide repeat protein 27
df	oid	10427	loc	K13509	AGPAT1_2; lysophosphatidate acyltransferase [EC:2.3.1.51]
df	oid	10428	loc	K05824	LYS12; homoisocitrate dehydrogenase [EC:1.1.1.87]
df	oid	10429	loc		
df	oid	10430	loc	K06210	NMNAT; nicotinamide mononucleotide adenylyltransferase [EC:2.7.7.1 2.7.7.18]
df	oid	10431	loc		
df	oid	10432	loc		
df	oid	10437	loc	K03039	PSMD13, RPN9; 26S proteasome regulatory subunit N9
df	oid	10439	loc		
df	oid	10440	loc	K03039	PSMD13, RPN9; 26S proteasome regulatory subunit N9
df	oid	10442	loc		
df	oid	10443	loc		
df	oid	10444	loc		
df	oid	10446	loc	K10773	NTHL1, nth; endonuclease III [EC:3.2.2.- 4.2.99.18]
df	oid	10449	loc		
df	oid	10451	loc		
df	oid	10452	loc		
df	oid	10454	loc		
df	oid	10455	loc	K19792	FET4; low-affinity ferrous iron transport protein
df	oid	10456	loc	K26066	XYRB; D-xylose/L-arabinose reductase (NADPH) [EC:1.1.1.431 1.1.1.-]
df	oid	10457	loc	K15378	SLC45A1_2_4; solute carrier family 45, member 1/2/4
df	oid	10458	loc		
df	oid	10459	loc		
df	oid	10460	loc	K20457	DHFS; dihydrofolate synthase [EC:6.3.2.12]
df	oid	10461	loc	K10967	KTR1_3; alpha 1,2-mannosyltransferase [EC:2.4.1.-]
df	oid	10462	loc		
df	oid	10464	loc	K05754	ARPC5; actin related protein 2/3 complex, subunit 5
df	oid	10465	loc	K03217	yidC, spoIIIJ, OXA1, ccfA; YidC/Oxa1 family membrane protein insertase
df	oid	10466	loc		
df	oid	10468	loc		
df	oid	10469	loc	K12041	SLC9A6_7, NHE6_7; solute carrier family 9 (sodium/hydrogen exchanger), member 6/7
df	oid	10470	loc		
df	oid	10472	loc		
df	oid	10473	loc	K17991	PXG; peroxygenase [EC:1.11.2.3]
df	oid	10474	loc		
df	oid	10475	loc	K01918	panC; pantoate--beta-alanine ligase [EC:6.3.2.1]
df	oid	10477	loc		
df	oid	10478	loc		
df	oid	10479	loc	K10575	UBE2G1, UBC7; ubiquitin-conjugating enzyme E2 G1 [EC:2.3.2.23]
df	oid	10481	loc		
df	oid	10482	loc	K10768	ALKBH6; alkylated DNA repair protein alkB homolog 6 [EC:1.14.11.-]
df	oid	10483	loc		
df	oid	10484	loc	K01184	E3.2.1.15; polygalacturonase [EC:3.2.1.15]
df	oid	10486	loc		
df	oid	10487	loc	K06912	tfdA; alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase [EC:1.14.11.-]
df	oid	10488	loc		
df	oid	10489	loc	K17991	PXG; peroxygenase [EC:1.11.2.3]
df	oid	10490	loc		
df	oid	10491	loc		
df	oid	10492	loc		
df	oid	10493	loc		
df	oid	10496	loc		
df	oid	10497	loc		
df	oid	10499	loc	K09580	PDIA1, P4HB; protein disulfide-isomerase A1 [EC:5.3.4.1]
df	oid	10502	loc		
df	oid	10503	loc		
df	oid	10504	loc	K01613	psd, PISD; phosphatidylserine decarboxylase [EC:4.1.1.65]
df	oid	10505	loc		
df	oid	10506	loc		
df	oid	10507	loc		
df	oid	10508	loc		
df	oid	10509	loc		
df	oid	10513	loc	K23114	ARMT1; damage-control phosphatase, subfamily III [EC:3.1.3.-]
df	oid	10514	loc	K15100	SLC25A1, CTP; solute carrier family 25 (mitochondrial citrate transporter), member 1
df	oid	10515	loc		
df	oid	10516	loc		
df	oid	10517	loc	K12948	SPCS3, SPC3; signal peptidase complex subunit 3 [EC:3.4.-.-]
df	oid	10519	loc	K03348	APC1, ANAPC1; anaphase-promoting complex subunit 1
df	oid	10520	loc		
df	oid	10521	loc	K14003	PREB, SEC12; prolactin regulatory element-binding protein
df	oid	10522	loc	K24348	UBXN1_4; UBX domain-containing protein 1/4
df	oid	10526	loc	K14550	UTP10, HEATR1; U3 small nucleolar RNA-associated protein 10
df	oid	10527	loc	K03263	EIF5A; translation initiation factor 5A
df	oid	10528	loc		
df	oid	10529	loc	K23887	UAPA_C; uric acid-xanthine permease
df	oid	10530	loc	K15027	EIF2D; translation initiation factor 2D
df	oid	10531	loc	K18468	VPS35; vacuolar protein sorting-associated protein 35
df	oid	10532	loc		
df	oid	10535	loc	K03143	TFIIH3, GTF2H3, TFB4; transcription initiation factor TFIIH subunit 3
df	oid	10538	loc	K20294	COG7; conserved oligomeric Golgi complex subunit 7
df	oid	10539	loc	K06877	K06877; DEAD/DEAH box helicase domain-containing protein
df	oid	10540	loc		
df	oid	10541	loc	K03950	NDUFA6; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 6
df	oid	10542	loc	K14009	BCAP31, BAP31; B-cell receptor-associated protein 31
df	oid	10543	loc		
df	oid	10547	loc		
df	oid	10548	loc	K15042	KPNA5_6; importin subunit alpha-6/7
df	oid	10549	loc	K23700	SET2; [histone H3]-lysine36 N-trimethyltransferase [EC:2.1.1.359]
df	oid	10550	loc		
df	oid	10551	loc	K00059	fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
df	oid	10553	loc		
df	oid	10554	loc	K06316	RFT1; oligosaccharide translocation protein RFT1
df	oid	10555	loc	K09602	OTUB1; ubiquitin thioesterase protein OTUB1 [EC:3.4.19.12]
df	oid	10557	loc		
df	oid	10558	loc	K00059	fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
df	oid	10559	loc		
df	oid	10560	loc		
df	oid	10561	loc		
df	oid	10562	loc		
df	oid	10563	loc		
df	oid	10565	loc		
df	oid	10567	loc		
df	oid	10568	loc	K23700	SET2; [histone H3]-lysine36 N-trimethyltransferase [EC:2.1.1.359]
df	oid	10569	loc	K03005	RPA49, POLR1E; DNA-directed RNA polymerase I subunit RPA49
df	oid	10570	loc	K00365	uaZ; urate oxidase [EC:1.7.3.3]
df	oid	10571	loc	K13339	PEX6, PXAAA1; peroxin-6
df	oid	10572	loc	K03786	aroQ, qutE; 3-dehydroquinate dehydratase II [EC:4.2.1.10]
df	oid	10573	loc	K27246	NHP6; non-histone chromosomal protein 6
df	oid	10574	loc	K20465	OSBPL9_10_11, ORP9_10_11; oxysterol-binding protein-related protein 9/10/11
df	oid	10575	loc	K08284	MID1; calcium channel MID1
df	oid	10576	loc	K13621	BTA1; betaine lipid synthase
df	oid	10577	loc	K14157	AASS; alpha-aminoadipic semialdehyde synthase [EC:1.5.1.8 1.5.1.9]
df	oid	10578	loc	K20407	MIOS, MIO, SEA4; SEA/GATOR complex protein SEA4/MIOS
df	oid	10579	loc	K09486	HYOU1; hypoxia up-regulated 1
df	oid	10580	loc	K04441	P38; p38 MAP kinase [EC:2.7.11.24]
df	oid	10582	loc		
df	oid	10583	loc	K01737	queD, ptpS, PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]
df	oid	10584	loc		
df	oid	10585	loc		
df	oid	10588	loc		
df	oid	10589	loc		
df	oid	10590	loc		
df	oid	10592	loc	K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
df	oid	10594	loc		
df	oid	10595	loc	K12392	AP1B1; AP-1 complex subunit beta-1
df	oid	10596	loc	K14191	DIM1; 18S rRNA (adenine1779-N6/adenine1780-N6)-dimethyltransferase [EC:2.1.1.183]
df	oid	10597	loc	K09486	HYOU1; hypoxia up-regulated 1
df	oid	10598	loc	K04441	P38; p38 MAP kinase [EC:2.7.11.24]
df	oid	10602	loc	K01626	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]
df	oid	10603	loc	K11843	USP14, UBP6; ubiquitin carboxyl-terminal hydrolase 14 [EC:3.4.19.12]
df	oid	10604	loc		
df	oid	10605	loc		
df	oid	10606	loc		
df	oid	10607	loc	K18163	NDUFAF6; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 6
df	oid	10608	loc		
df	oid	10609	loc	K12572	PAN3; PAB-dependent poly(A)-specific ribonuclease subunit 3
df	oid	10610	loc		
df	oid	10611	loc		
df	oid	10612	loc	K20813	TDG; thymine-DNA glycosylase [EC:3.2.2.29]
df	oid	10613	loc	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
